	Age_Estimate	Age_Std.Rrror	Age_Z_value	Age_Pvalue	Gender_Estimate	Gender_Std.Rrror	Gender_Z_value	Gender_Pvalue	Metabolite_Estimate	Metabolite_Std.Rrror	Metabolite_Z_value	Metabolite_Pvalue	BMI_Estimate	BMI_Std.Rrror	BMI_Z_value	BMI_Pvalue	Smoking_Estimate	Smoking_Std.Rrror	Smoking_Z_value	Smoking_Pvalue	DM_status_Estimate	DM_status_Std.Rrror	DM_status_Z_value	DM_status_Pvalue	Fasting_status_Estimate	Fasting_status_Std.Rrror	Fasting_status_Z_value	Fasting_status_Pvalue	Cohort_Estimate	Cohort_Std.Rrror	Cohort_Z_value	Cohort_Pvalue	N	Ndf	Ncases	Ncontrols
S.HDL.FC	0.015276581	0.006981245	2.188231421	0.028652749	0.225920308	0.1373928	1.64433878	0.100106243	-0.063102246	0.071004463	-0.888708177	0.374159935	0.017336759	0.016492243	1.051206838	0.293163603	0.512949316	0.087611224	5.854835645	4.77E-09	0.636610143	0.224839576	2.83139719	0.004634513	-0.073596652	0.118128228	-0.623023415	0.533269135	0.282988163	0.203060315	1.393616291	0.163433506	1211	1199	345	866
S.LDL.TG	0.01601131	0.006892298	2.323072632	0.020175251	0.19513581	0.137762549	1.416464859	0.156639446	0.063060495	0.071178041	0.885954353	0.375642125	0.014383385	0.01651394	0.870984471	0.383762632	0.50654874	0.087544106	5.786211809	7.20E-09	0.64007791	0.225487631	2.838638677	0.004530643	-0.078841403	0.117940142	-0.668486591	0.503823038	0.29721392	0.205033787	1.449585088	0.147174257	1210	1198	346	864
XXL.VLDL.C_.	0.015619529	0.006900168	2.263644664	0.023595978	0.211046187	0.136974217	1.540773085	0.123372022	0.068790446	0.078471862	0.876625632	0.380690012	0.016181329	0.016398329	0.986766943	0.323756904	0.506356071	0.087443037	5.79069631	7.01E-09	0.646379447	0.225450886	2.867052146	0.004143147	-0.077336201	0.11815259	-0.654545121	0.512760667	0.318566615	0.206201797	1.544926474	0.122364049	1210	1198	346	864
XL.HDL.C_.	0.017016533	0.006928018	2.456190577	0.014041867	0.236393271	0.140924892	1.677441566	0.093456167	0.060779873	0.070759685	0.858961902	0.390361535	0.014414268	0.016456402	0.875906423	0.381080907	0.506934947	0.087533019	5.791356821	6.98E-09	0.632180054	0.226055241	2.796573309	0.005164769	-0.074454731	0.118199685	-0.629906342	0.528755864	0.276723727	0.202732303	1.364971064	0.172262145	1212	1200	346	866
L.HDL.PL_.	0.016762835	0.006943553	2.414158278	0.015771609	0.236306466	0.139530005	1.69358889	0.090343431	0.064733377	0.076998483	0.840709766	0.400510548	0.011518395	0.016765497	0.687029735	0.49206399	0.500919266	0.087587774	5.719054641	1.07E-08	0.634317326	0.226800648	2.79680561	0.005161057	-0.107600512	0.1189652	-0.904470489	0.365745976	0.274764292	0.202536637	1.356615256	0.174903492	1212	1200	344	868
L.HDL.TG	0.016841371	0.00693344	2.429006377	0.015140266	0.251977064	0.144232892	1.747015272	0.080634689	-0.064995001	0.077915425	-0.834173733	0.40418309	0.014350738	0.01642306	0.873816294	0.382218305	0.49732675	0.087450264	5.686966809	1.29E-08	0.605189866	0.225880059	2.679253182	0.007378658	-0.089239251	0.11779195	-0.757600592	0.448690126	0.235761941	0.206541226	1.141476426	0.253671717	1214	1202	346	868
ApoB.ApoA1	0.015434119	0.006884696	2.241801159	0.024974226	0.22973699	0.137634391	1.669183027	0.095081113	0.055863858	0.069137008	0.808016717	0.419080958	0.012653383	0.016548375	0.764629922	0.444491946	0.497493851	0.087445167	5.689209205	1.28E-08	0.630693757	0.224925441	2.804012541	0.005047094	-0.085334657	0.118173884	-0.722110958	0.470226261	0.300745052	0.205581113	1.462902152	0.143494155	1214	1202	345	869
M.LDL.C_.	0.016005809	0.006876374	2.327652402	0.019930569	0.210450119	0.13678491	1.53854777	0.123914738	0.057246341	0.073246943	0.781552632	0.434477534	0.017562361	0.016503793	1.064140914	0.287264869	0.504092569	0.087371197	5.769550912	7.95E-09	0.641107076	0.225058104	2.848629157	0.004390803	-0.086913972	0.117645631	-0.738777727	0.460041978	0.283513779	0.203088633	1.396010078	0.16271146	1215	1203	346	869
M.HDL.TG	0.015972944	0.006862415	2.327598047	0.019933457	0.220805218	0.1373101	1.608077029	0.10781831	-0.056329091	0.072580151	-0.776094981	0.437692907	0.019043578	0.01682794	1.131664246	0.257775619	0.505154231	0.087358712	5.782528396	7.36E-09	0.628067274	0.224373301	2.799206823	0.005122831	-0.089887651	0.118052939	-0.761418159	0.446407345	0.251694139	0.203800943	1.234999877	0.21683055	1214	1202	346	868
XL.HDL.FC_.	0.015265404	0.006877044	2.219762467	0.026434896	0.230912062	0.13782576	1.675391172	0.093857508	-0.053881465	0.069539321	-0.774834496	0.438437462	0.013863306	0.016454391	0.842529275	0.39949176	0.511449304	0.087533488	5.842898718	5.13E-09	0.64807618	0.225690681	2.871523885	0.004084979	-0.103835782	0.119208637	-0.871042438	0.383730982	0.261806254	0.20306197	1.289292395	0.197296454	1209	1197	344	865
HDL.D	0.016504866	0.006885073	2.397195354	0.016521113	0.247935785	0.144673763	1.713757766	0.086573223	-0.057693725	0.076596754	-0.75321371	0.451321502	0.012662919	0.016881343	0.750113242	0.453186505	0.499661291	0.087389119	5.717660264	1.08E-08	0.608164358	0.225970933	2.691338885	0.007116586	-0.089099001	0.117873556	-0.755886256	0.449717395	0.265990327	0.202525355	1.313368032	0.189058964	1215	1203	346	869
S.LDL.C_.	0.015861589	0.006880576	2.305270467	0.02115143	0.208040468	0.136806513	1.520691254	0.128337334	0.053600942	0.071365614	0.751075194	0.452607404	0.017482377	0.016568171	1.055178465	0.291343711	0.505266849	0.087371045	5.783001101	7.34E-09	0.640851	0.225162308	2.846173525	0.004424808	-0.088221923	0.1177538	-0.749206595	0.453732695	0.289451338	0.203920164	1.419434606	0.155772349	1214	1202	346	868
PUFA.FA	0.016080283	0.00686711	2.341637712	0.019199342	0.20557988	0.137061131	1.499913782	0.133636738	0.05412553	0.073683326	0.73456958	0.46260167	0.018817492	0.016839039	1.117492054	0.263783995	0.507733339	0.087666178	5.791667344	6.97E-09	0.635443469	0.224564723	2.829667368	0.004659642	-0.095038388	0.118824791	-0.799819524	0.423815369	0.282331114	0.203093933	1.390150409	0.164483209	1215	1203	346	869
XS.VLDL.FC	0.015739654	0.00690149	2.280616885	0.022571127	0.194485792	0.138636263	1.40284935	0.160661767	0.052914148	0.073233078	0.72254437	0.469959856	0.015891879	0.016353912	0.971747893	0.331175984	0.503335584	0.087384084	5.760037324	8.41E-09	0.633227011	0.224855641	2.816149098	0.00486031	-0.083947987	0.117635977	-0.713625108	0.475459028	0.309037811	0.20946965	1.475334547	0.140122623	1214	1202	346	868
XS.VLDL.C_.	0.016176073	0.006864129	2.356609661	0.018442621	0.221804089	0.137378705	1.61454491	0.106409284	-0.053394288	0.074121279	-0.72036382	0.47130102	0.013502732	0.016638663	0.811527457	0.417062831	0.495996417	0.087733914	5.653417179	1.57E-08	0.605447433	0.226562889	2.67231511	0.007532987	-0.087721956	0.117887466	-0.744116048	0.456806271	0.241930146	0.20617484	1.173422257	0.240626516	1215	1203	346	869
Gp	0.016015804	0.006878919	2.328244281	0.019899136	0.207067419	0.136812585	1.51351149	0.130149785	0.049655893	0.070420481	0.70513425	0.480726694	0.01305278	0.016830673	0.775535233	0.438023454	0.501062032	0.088133106	5.685287367	1.31E-08	0.632193825	0.22628703	2.793769602	0.005209758	-0.07465497	0.118511567	-0.629938261	0.528734978	0.273614729	0.202633409	1.350294261	0.176921612	1213	1201	346	867
L.LDL.TG_.	0.015800032	0.006914091	2.285193048	0.022301511	0.210508671	0.137137784	1.535015846	0.124779936	0.052964206	0.075186461	0.704438078	0.48116	0.013567504	0.016542202	0.820175191	0.412116243	0.508512646	0.087731916	5.796210402	6.78E-09	0.637676999	0.22660264	2.814075768	0.00489177	-0.085356847	0.118020424	-0.723237928	0.469533721	0.266970214	0.202679463	1.317204076	0.187770228	1211	1199	345	866
S.LDL.CE	0.015669317	0.006892919	2.273248487	0.02301121	0.197457928	0.137976983	1.431093243	0.152403494	0.048727609	0.069465469	0.701465206	0.483012741	0.016376375	0.016381126	0.999709914	0.317450913	0.502879093	0.087334916	5.758053208	8.51E-09	0.635858845	0.225075529	2.825090978	0.004726719	-0.084074549	0.117542216	-0.71527109	0.474441549	0.299947196	0.206456209	1.452836886	0.146269048	1214	1202	346	868
S.LDL.CE_.	0.015815339	0.006886583	2.296543873	0.021644804	0.207058977	0.136864489	1.512875825	0.130311204	0.048882821	0.071902241	0.679851147	0.496598717	0.016878533	0.016454914	1.025744217	0.305012166	0.504750575	0.087359973	5.777824322	7.57E-09	0.638097528	0.225038216	2.835507405	0.004575295	-0.08728354	0.117696058	-0.741601221	0.458328984	0.287325213	0.203878355	1.40929729	0.15874728	1214	1202	346	868
XL.HDL.L	0.016427646	0.006879333	2.387970894	0.016941683	0.244340236	0.145159169	1.683257335	0.092325286	-0.05183672	0.07675933	-0.675314903	0.499475718	0.013077914	0.016794817	0.778687516	0.436163812	0.499992252	0.087354835	5.723692946	1.04E-08	0.61058288	0.225725974	2.704973952	0.006830975	-0.089446246	0.11796821	-0.758223304	0.448317312	0.26245315	0.202748077	1.294479108	0.195499981	1214	1202	346	868
XL.HDL.TG_.	0.016194557	0.00687806	2.354523946	0.018546449	0.219347346	0.138018862	1.589256308	0.112002539	0.046690375	0.07024383	0.664690059	0.506248753	0.014535291	0.016671044	0.871888457	0.383269231	0.500668685	0.08749019	5.722569414	1.05E-08	0.583305487	0.226413462	2.576284477	0.009986844	-0.059487526	0.118653564	-0.501354738	0.616121488	0.278237393	0.202830388	1.371773707	0.170133895	1210	1198	344	866
Phe	0.015766142	0.006913587	2.28045744	0.022580572	0.213853238	0.136874616	1.562402477	0.118193204	0.052921632	0.079826759	0.662956035	0.507358712	0.014070711	0.016657351	0.844714802	0.398270093	0.497383393	0.087456122	5.687233562	1.29E-08	0.620106605	0.224617009	2.760728619	0.005767258	-0.076269367	0.118469338	-0.643789934	0.519711662	0.304818461	0.211847901	1.438855231	0.150191544	1213	1201	346	867
XL.HDL.FC	0.016341403	0.006870763	2.378397214	0.017388084	0.242762973	0.144654463	1.678226634	0.093302864	-0.051308787	0.077438526	-0.662574423	0.507603156	0.013088166	0.016806266	0.778767053	0.436116949	0.500404388	0.087342294	5.729233431	1.01E-08	0.612707127	0.225445363	2.717763273	0.006572484	-0.089515408	0.117997407	-0.758621819	0.448078817	0.262323895	0.202771925	1.293689425	0.19577272	1214	1202	346	868
XL.HDL.PL	0.016465429	0.006886669	2.390913389	0.016806517	0.245836839	0.146400922	1.679202805	0.093112526	-0.050340626	0.076543227	-0.657675782	0.510746487	0.012882542	0.016891451	0.762666402	0.445662373	0.499609695	0.087370682	5.718276272	1.08E-08	0.610184111	0.225930397	2.700761472	0.006918093	-0.085552088	0.117646302	-0.727197431	0.46710502	0.266586474	0.202499436	1.316480078	0.188012961	1214	1202	346	868
XS.VLDL.TG_.	0.016173316	0.006859221	2.357894168	0.018378932	0.226316265	0.138388562	1.63536828	0.101971868	0.046747496	0.071412076	0.654616114	0.512714947	0.01316285	0.016819901	0.782575933	0.433876179	0.499069785	0.087434368	5.707936107	1.14E-08	0.607805838	0.226546734	2.682915915	0.007298334	-0.081424833	0.117760137	-0.691446484	0.489285001	0.251364855	0.204450299	1.229466798	0.218896839	1215	1203	346	869
M.LDL.CE	0.015676988	0.006892181	2.274604748	0.022929651	0.199247068	0.137825627	1.445646008	0.148276515	0.044801476	0.069502978	0.644597933	0.519187775	0.016185715	0.016368537	0.98883086	0.322745903	0.502833735	0.087333313	5.757639506	8.53E-09	0.634666422	0.225036254	2.820285228	0.004798098	-0.083780151	0.117547052	-0.712737149	0.476008424	0.299086612	0.206908318	1.445503086	0.148316627	1214	1202	346	868
M.LDL.CE_.	0.015920881	0.006879719	2.314176073	0.020658066	0.208132125	0.136815897	1.521256888	0.128195385	0.046858244	0.073238888	0.639800037	0.522302609	0.016561884	0.016415991	1.008887272	0.3130287	0.504456761	0.087353136	5.774912994	7.70E-09	0.636414052	0.224928726	2.829403174	0.004663491	-0.086184431	0.117620588	-0.732732535	0.463721577	0.286329613	0.20387697	1.404423526	0.160192769	1214	1202	346	868
S.HDL.FC_.	0.016048869	0.006919439	2.319388833	0.020373963	0.220917676	0.13700638	1.612462692	0.106861292	-0.047279833	0.075163495	-0.629026536	0.529331684	0.015313434	0.016371961	0.935345133	0.349610463	0.508974012	0.087552938	5.813328785	6.12E-09	0.639673377	0.224871144	2.844621877	0.004446417	-0.087795817	0.118127906	-0.74322673	0.457344423	0.286071851	0.204418232	1.399443915	0.161679906	1214	1202	345	869
bOHBut	0.016923868	0.006911558	2.448632845	0.014339954	0.200284566	0.137217052	1.45961863	0.144394916	-0.047414022	0.076378403	-0.620777865	0.534745789	0.016440315	0.016375333	1.003968262	0.315393912	0.503933163	0.087657757	5.748871287	8.98E-09	0.643396433	0.225411465	2.854319908	0.004312908	-0.076522244	0.118492775	-0.645796705	0.518411022	0.274706192	0.203041906	1.352953179	0.176070589	1210	1198	345	865
M.LDL.FC_.	0.015589439	0.006901277	2.258920968	0.023888301	0.206250193	0.137224703	1.503010672	0.132836292	-0.044222762	0.07178094	-0.616079445	0.537842088	0.014831493	0.016379425	0.90549534	0.365203028	0.50184817	0.087363441	5.744372781	9.23E-09	0.632663818	0.224636844	2.81638491	0.004856744	-0.084288448	0.117539939	-0.71710474	0.473309471	0.293181058	0.206138674	1.4222516	0.154953224	1213	1201	346	867
L.VLDL.FC_.	0.01609789	0.006865194	2.34485588	0.019034436	0.207020987	0.136916917	1.512019053	0.130529016	0.044507235	0.073712421	0.603795591	0.545979551	0.013884651	0.01659173	0.836841629	0.402681594	0.501502907	0.087301029	5.744524561	9.22E-09	0.628195329	0.224806172	2.794386491	0.005199829	-0.073725385	0.118920019	-0.619957727	0.535285619	0.272199427	0.202460851	1.344454622	0.178801421	1214	1202	346	868
S.VLDL.FC	0.016060826	0.006871772	2.337217544	0.019427875	0.208016378	0.136833046	1.520220326	0.12845561	0.040478441	0.069170521	0.585197854	0.558414688	0.014116376	0.016605708	0.850091793	0.395274054	0.503295937	0.087386042	5.759454556	8.44E-09	0.62110477	0.224789781	2.763047181	0.005726449	-0.079596299	0.117827978	-0.675529704	0.499339286	0.290242166	0.205335617	1.413501323	0.157508373	1214	1202	346	868
XL.VLDL.PL	0.016454666	0.006873706	2.393856545	0.016672268	0.197073156	0.136946282	1.439054445	0.150135097	-0.040102606	0.069127849	-0.580122292	0.561832152	0.018221751	0.016770739	1.08652045	0.277248798	0.507578635	0.087556168	5.797177379	6.74E-09	0.632564995	0.224611755	2.816259526	0.00485864	-0.103413371	0.120787003	-0.856163061	0.391907591	0.271639534	0.202476704	1.341584139	0.179730872	1211	1199	344	867
M.VLDL.PL_.	0.016487311	0.006881451	2.395906161	0.016579334	0.214100791	0.138485962	1.546010781	0.122101964	-0.044735179	0.080302978	-0.557079952	0.577472804	0.015506443	0.016637257	0.932031239	0.351320381	0.496892592	0.08746737	5.680890947	1.34E-08	0.618392545	0.225001229	2.748396295	0.005988758	-0.077838772	0.117998639	-0.65965822	0.509473184	0.249494651	0.205195597	1.215886966	0.224027984	1213	1201	345	868
M.LDL.C	0.015716355	0.006889248	2.28128758	0.022531435	0.200369218	0.137930798	1.452679315	0.146312813	0.038215881	0.069515656	0.549744955	0.582494318	0.01612421	0.016366714	0.985183106	0.324534137	0.502901656	0.087329335	5.758679538	8.48E-09	0.633232516	0.225034876	2.813930568	0.00489398	-0.083745445	0.117565553	-0.712329781	0.476260586	0.295621283	0.207137917	1.42717126	0.153530536	1214	1202	346	868
S.LDL.C	0.016007288	0.006877161	2.327600973	0.019933302	0.202606791	0.13797276	1.468455011	0.141980668	0.037027967	0.069358392	0.533864273	0.593435442	0.016354549	0.016379663	0.998466743	0.318053084	0.501482929	0.087331283	5.742305754	9.34E-09	0.635716295	0.225052224	2.824750116	0.00473175	-0.08294125	0.117595518	-0.705309619	0.480617576	0.292024668	0.206605007	1.413444294	0.15752513	1215	1203	346	869
L.VLDL.PL_.	0.015634187	0.00690978	2.262617095	0.023659303	0.200904012	0.138892853	1.446467597	0.148046094	0.041334902	0.078504522	0.526528934	0.598520754	0.015803611	0.016343411	0.966971447	0.333558308	0.500953661	0.087298743	5.738383445	9.56E-09	0.632902233	0.224804677	2.81534282	0.004872523	-0.084439624	0.117715207	-0.717321286	0.473175876	0.281000028	0.203500166	1.380834395	0.167329885	1214	1202	346	868
SM	0.016064523	0.006876006	2.336316087	0.019474774	0.191442927	0.141695351	1.351088277	0.176667156	0.044425404	0.084557521	0.52538678	0.599314342	0.016530978	0.01639245	1.008450737	0.313238126	0.504182796	0.087366213	5.770912762	7.88E-09	0.634626709	0.225204526	2.818001575	0.004832357	-0.083932019	0.117675747	-0.713248241	0.47569216	0.305992639	0.2135719	1.43273829	0.151932643	1214	1202	346	868
M.VLDL.FC_.	0.015896496	0.006874519	2.312379301	0.02075679	0.206493161	0.137047929	1.50672223	0.131881871	0.03827403	0.073976101	0.517383717	0.604888324	0.014418891	0.016572284	0.870060599	0.384267289	0.499333457	0.087390732	5.71380333	1.10E-08	0.622558441	0.224731226	2.770235587	0.005601576	-0.078796022	0.118062557	-0.667409073	0.504510872	0.274656645	0.202611639	1.355581774	0.175232274	1214	1202	346	868
S.VLDL.C	0.016001265	0.006877191	2.326715219	0.019980427	0.206876401	0.136980645	1.510260092	0.130977071	0.036140421	0.070771106	0.510666333	0.609584719	0.014878257	0.016451963	0.904345408	0.365812276	0.504803717	0.087361949	5.778301934	7.55E-09	0.626580451	0.224626368	2.789434098	0.005280024	-0.079968456	0.117846038	-0.678584169	0.497401376	0.293712351	0.207629167	1.414600633	0.157185623	1214	1202	346	868
M.VLDL.CE_.	0.016313304	0.006884614	2.369530496	0.017810686	0.226361187	0.139036552	1.628069629	0.103510123	-0.039725586	0.079147629	-0.501917579	0.615725499	0.013752193	0.016764957	0.820293978	0.412048538	0.498522996	0.087493592	5.697822917	1.21E-08	0.614339934	0.225843862	2.720197613	0.006524291	-0.084687281	0.117700899	-0.719512611	0.471825135	0.244337418	0.208753727	1.170457752	0.241816806	1214	1202	346	868
S.HDL.TG_.	0.01539662	0.00689248	2.233828935	0.025494331	0.225647939	0.137596835	1.639920995	0.101021595	0.036201769	0.072729542	0.497758794	0.618654063	0.0126693	0.016746701	0.756525089	0.449334436	0.499252563	0.087374789	5.713920123	1.10E-08	0.629251423	0.225249915	2.793570081	0.005212973	-0.084988394	0.11889982	-0.714789932	0.474738857	0.283135896	0.203722899	1.389808889	0.164586918	1214	1202	345	869
M.HDL.TG_.	0.015520242	0.006882665	2.254975588	0.024134861	0.223147726	0.137432651	1.623687855	0.104442444	0.035260642	0.071366172	0.494080611	0.62124925	0.012934214	0.016726155	0.773292727	0.439349159	0.500511469	0.087324035	5.731657607	9.95E-09	0.630662351	0.224928585	2.803833717	0.005049894	-0.087106566	0.118498442	-0.735086171	0.462287016	0.284515122	0.204068707	1.394212399	0.163253475	1213	1201	345	868
S.LDL.FC_.	0.015782082	0.006903678	2.286039607	0.022251942	0.205784607	0.137167295	1.500245427	0.13355084	-0.03573571	0.073186473	-0.488282999	0.625349402	0.015177653	0.016367909	0.927281116	0.353780596	0.502868663	0.087380124	5.754954775	8.67E-09	0.631450215	0.224659097	2.810703963	0.004943325	-0.08389225	0.117573756	-0.713528709	0.475518654	0.279755767	0.203307677	1.376021658	0.168814928	1214	1202	346	868
IDL.PL_.	0.015916258	0.006880434	2.313263663	0.020708147	0.202567812	0.138205116	1.465704152	0.142728903	-0.035916492	0.073680262	-0.487464229	0.625929387	0.014498183	0.016550217	0.876011629	0.381023712	0.499359706	0.087522601	5.705494352	1.16E-08	0.623173957	0.224815359	2.771936763	0.005572386	-0.078618794	0.118073153	-0.665848179	0.505508146	0.279846139	0.203453328	1.375480765	0.168982445	1215	1203	346	869
AcAce	0.016409825	0.006894573	2.380107646	0.017307581	0.20859224	0.137488421	1.517162236	0.129225728	0.039270929	0.081246083	0.483357821	0.628841691	0.01644843	0.016395509	1.003227796	0.315750965	0.494700486	0.087763797	5.636726115	1.73E-08	0.648818389	0.226010011	2.870750662	0.004094984	-0.086632392	0.117778763	-0.735551891	0.46200345	0.285729444	0.202829845	1.40871499	0.158919461	1206	1194	344	862
HDL.TG	0.016349319	0.006873534	2.378589967	0.017378995	0.220555424	0.138532164	1.592088206	0.111364887	-0.035312492	0.073602257	-0.479774579	0.631387691	0.017139149	0.016523167	1.037279887	0.299605437	0.503528584	0.087358877	5.76390863	8.22E-09	0.623051469	0.224358102	2.777040208	0.005485639	-0.090128717	0.118377973	-0.761363916	0.446439734	0.253560656	0.205352861	1.234755897	0.216921366	1213	1201	346	867
IDL.FC_.	0.01586819	0.006875645	2.307883874	0.021005596	0.209052067	0.137718321	1.517968448	0.129022353	0.034045894	0.071001389	0.479510251	0.631575677	0.017115886	0.016937272	1.010545592	0.312233968	0.503787693	0.087414152	5.763228056	8.25E-09	0.64317035	0.225982051	2.846112542	0.004425655	-0.087179374	0.118181596	-0.737673016	0.460713173	0.261533669	0.203608727	1.284491451	0.198970053	1213	1201	345	868
XL.HDL.P	0.016323457	0.006879108	2.372902986	0.017648899	0.234548692	0.145112372	1.616324567	0.106024158	-0.036554946	0.077042861	-0.47447545	0.635160901	0.013821638	0.016796752	0.822875628	0.410578724	0.500206009	0.087356966	5.726000234	1.03E-08	0.616367266	0.225507708	2.733242563	0.006271413	-0.087161663	0.117881281	-0.739402069	0.459662886	0.265372526	0.202643317	1.309554789	0.190346491	1214	1202	346	868
L.VLDL.CE_.	0.0160644	0.006875611	2.336432271	0.019468724	0.220895018	0.136971569	1.612707076	0.106808163	-0.037815966	0.08104624	-0.466597408	0.640787942	0.015975384	0.016632457	0.960494535	0.33680638	0.494629707	0.087690358	5.64063959	1.69E-08	0.590382005	0.226148009	2.610600053	0.009038353	-0.09559206	0.11824832	-0.808400995	0.418859779	0.247013503	0.208715136	1.183495877	0.236612679	1210	1198	344	866
S.VLDL.PL	0.016132999	0.006867542	2.349166275	0.018815502	0.209587829	0.136761185	1.532509593	0.125396732	0.031777233	0.068961329	0.460797867	0.644943633	0.014299095	0.016672346	0.857653449	0.391083852	0.503551504	0.087381556	5.762674936	8.28E-09	0.621523675	0.224792998	2.764871143	0.005694529	-0.080176553	0.11787473	-0.680184403	0.496387707	0.284779177	0.204912327	1.389761083	0.164601439	1214	1202	346	868
S.LDL.P	0.015766903	0.006884962	2.29004937	0.022018455	0.200734671	0.138349299	1.45092655	0.146800314	0.031375418	0.069299909	0.452748331	0.650729973	0.01585658	0.016346884	0.970006279	0.332043362	0.502681894	0.087340836	5.755405097	8.64E-09	0.630478371	0.224882078	2.803595448	0.005053627	-0.083132588	0.117608643	-0.706857812	0.479654843	0.290808651	0.206898272	1.405563461	0.159853792	1214	1202	346	868
XL.HDL.C	0.016240715	0.006868118	2.364653079	0.018046967	0.230073005	0.142824195	1.610882563	0.107205321	-0.034433792	0.076389966	-0.450763281	0.652160168	0.01414043	0.016685519	0.847467156	0.396734786	0.500633417	0.087338683	5.732092583	9.92E-09	0.618063473	0.225225959	2.744192879	0.006065989	-0.088679836	0.118204161	-0.750226008	0.453118597	0.263611054	0.202901072	1.299209761	0.193871952	1214	1202	346	868
PC	0.016160556	0.006853529	2.357990525	0.018374162	0.232867527	0.14510749	1.604793297	0.108539302	-0.035463783	0.078928421	-0.449315756	0.653203893	0.015653315	0.016329759	0.958575982	0.337772397	0.505843346	0.087384163	5.788730207	7.09E-09	0.616689646	0.225329602	2.736833685	0.006203365	-0.089344732	0.118389589	-0.754667133	0.450448732	0.257274223	0.204456557	1.258331977	0.208271721	1214	1202	346	868
S.VLDL.CE	0.015995382	0.006879459	2.325093164	0.020066979	0.206819694	0.137056798	1.509007198	0.131296943	0.032198074	0.071680915	0.449186139	0.653297386	0.015295653	0.016388208	0.933332872	0.350648128	0.505418661	0.087378807	5.784224798	7.28E-09	0.628780972	0.224693522	2.798393859	0.005135745	-0.080476949	0.117846472	-0.682896546	0.494672217	0.292534872	0.208475763	1.403208065	0.160554803	1214	1202	346	868
XL.VLDL.FC_.	0.016279013	0.00688688	2.363771743	0.018089954	0.212753405	0.13806604	1.540953921	0.123328001	0.037440394	0.083717422	0.44722344	0.654713739	0.015131312	0.016463274	0.919094964	0.358045903	0.505066269	0.087474894	5.773842626	7.75E-09	0.634354569	0.225445156	2.813786643	0.004896171	-0.074843361	0.118986961	-0.629004725	0.529345963	0.280800203	0.204111236	1.375721432	0.168907894	1207	1195	345	862
XS.VLDL.L	0.015908373	0.006895274	2.307141511	0.021046932	0.201417125	0.138407748	1.455244578	0.145601564	0.032647815	0.073191006	0.44606321	0.655551587	0.015492405	0.016359126	0.947019138	0.343629027	0.50365097	0.087379675	5.763937342	8.22E-09	0.628743363	0.224675035	2.798456728	0.005134745	-0.082329533	0.117680792	-0.699600434	0.484176871	0.294625909	0.209724241	1.404825247	0.16007325	1214	1202	346	868
S.VLDL.PL_.	0.016379611	0.006883931	2.379397844	0.017340949	0.227825902	0.139046794	1.638483669	0.101320838	-0.030111185	0.068291448	-0.440921747	0.659269649	0.013945971	0.016446785	0.847945146	0.39646852	0.507855552	0.087525999	5.802339413	6.54E-09	0.632821795	0.224904693	2.81373317	0.004896986	-0.078233847	0.118920227	-0.657868296	0.510622764	0.264728303	0.202732174	1.305803111	0.191619522	1213	1201	344	869
HDL3.C	0.016211212	0.006856117	2.364488799	0.018054973	0.226841174	0.142180224	1.595448136	0.110612059	-0.034060207	0.078098298	-0.436119708	0.662749879	0.015124034	0.016422417	0.920938361	0.357082609	0.503103828	0.087359283	5.759019685	8.46E-09	0.61675872	0.225167618	2.73910931	0.006160589	-0.081901936	0.117733432	-0.695655723	0.48664446	0.255016423	0.205425571	1.241405444	0.214456009	1213	1201	346	867
M.LDL.P	0.015733548	0.006888103	2.28416278	0.022361966	0.201834652	0.138131471	1.461177895	0.143966628	0.029950773	0.06948333	0.431049762	0.666432188	0.01583241	0.016346146	0.968571395	0.332759081	0.502794197	0.08733657	5.756972072	8.56E-09	0.630391928	0.224897234	2.803022143	0.005062619	-0.083297074	0.117609384	-0.708251936	0.478788819	0.291061685	0.207487794	1.402789439	0.160679637	1214	1202	346	868
M.LDL.TG_.	0.015965901	0.006918816	2.307606016	0.02102106	0.211166152	0.137405884	1.536805743	0.124340887	0.031847122	0.074113379	0.429708131	0.667407968	0.014343365	0.016501489	0.869216408	0.384728774	0.508151673	0.087723789	5.79263249	6.93E-09	0.643673252	0.226047237	2.847516571	0.00440618	-0.084118693	0.117865844	-0.713681673	0.475424041	0.269288105	0.202582399	1.329276906	0.18375663	1209	1197	345	864
XS.VLDL.P	0.015929391	0.006892283	2.311192323	0.020822234	0.202637908	0.138112311	1.46719657	0.14232259	0.031146146	0.072618331	0.428901985	0.667994555	0.015386084	0.016372967	0.939724866	0.347358707	0.503564636	0.087386897	5.762473031	8.29E-09	0.627728999	0.224619948	2.794627124	0.005195961	-0.08207628	0.117706698	-0.697294896	0.485618262	0.292086957	0.208784409	1.398988357	0.161816475	1214	1202	346	868
S.VLDL.L	0.016300719	0.006872887	2.371742447	0.017704427	0.207329802	0.136813072	1.515423929	0.129665081	0.029435667	0.069014183	0.426516195	0.66973175	0.01452171	0.016669347	0.871162494	0.383665435	0.501297572	0.087417696	5.734509106	9.78E-09	0.620792376	0.224735897	2.762319607	0.005739227	-0.07282658	0.118101996	-0.616641395	0.537471285	0.280866864	0.204442229	1.373820196	0.16949751	1213	1201	345	868
