	Age_Estimate	Age_Std.Rrror	Age_Z_value	Age_Pvalue	Gender_Estimate	Gender_Std.Rrror	Gender_Z_value	Gender_Pvalue	Metabolite_Estimate	Metabolite_Std.Rrror	Metabolite_Z_value	Metabolite_Pvalue	N	Ndf	Ncases	Ncontrols
XS.VLDL.L	0.021285328	0.00606214	3.511190341	0.000446105	0.1288958	0.127340009	1.012217612	0.311434017	-0.034090062	0.063948476	-0.533086391	0.593973779	1242	1238	356	886
S.HDL.C	0.021461979	0.006081473	3.52907572	0.000417014	0.118026148	0.127615192	0.924859701	0.355038891	0.033417964	0.064077593	0.52152339	0.602002216	1243	1239	356	887
M.LDL.CE	0.021137789	0.006090674	3.470516863	0.000519458	0.116767041	0.127605093	0.915065679	0.360157151	0.033239606	0.063745642	0.521441228	0.602059438	1242	1238	356	886
Ile	0.021499295	0.006077773	3.537363776	0.000404143	0.131139606	0.127908078	1.025264454	0.305238423	0.032145969	0.063437859	0.506731618	0.612343143	1242	1238	356	886
S.LDL.CE	0.02114802	0.006089781	3.472705975	0.000515239	0.1165188	0.127702509	0.912423739	0.361545698	0.032296299	0.063743072	0.506663676	0.612390821	1242	1238	356	886
M.HDL.CE_.	0.020888239	0.006082637	3.434076378	0.000594577	0.136685269	0.127261978	1.0740464	0.282801886	-0.031806971	0.06310548	-0.504028676	0.614241226	1235	1231	355	880
S.HDL.CE_.	0.021102106	0.006111371	3.452925137	0.000554543	0.122797409	0.126991568	0.966972926	0.333557568	0.031646646	0.064372863	0.491614705	0.622991746	1241	1237	356	885
ApoB	0.021182189	0.006088225	3.479206035	0.000502902	0.118886042	0.127292643	0.933958466	0.350325318	0.030651597	0.063354544	0.483810562	0.628520319	1242	1238	356	886
L.LDL.PL	0.021171558	0.006071616	3.486972752	0.000488521	0.132370644	0.128050072	1.033741275	0.301257132	-0.030754283	0.063870285	-0.481511592	0.630152943	1242	1238	356	886
M.LDL.TG_.	0.02135259	0.006071935	3.516603608	0.000437106	0.126422307	0.127148412	0.994289305	0.320082041	-0.030877354	0.064486905	-0.478815885	0.632069615	1237	1233	355	882
LA	0.021191155	0.006082922	3.483713163	0.000494509	0.110560437	0.129145598	0.856091415	0.391947217	0.029913728	0.064120558	0.466523197	0.640841048	1241	1237	356	885
XS.VLDL.FC	0.021314677	0.006062966	3.515553063	0.000438839	0.128257093	0.127375323	1.006922617	0.313971963	-0.029070585	0.063893434	-0.454985474	0.649119689	1242	1238	356	886
LA.FA	0.021283315	0.006071221	3.50560712	0.000455567	0.120992689	0.126943484	0.95312248	0.340528018	0.028835724	0.06339547	0.454854645	0.649213814	1242	1238	356	886
XS.VLDL.P	0.021294681	0.006063937	3.511692414	0.000445263	0.127282862	0.127224218	1.000460951	0.317087486	-0.028145309	0.064025135	-0.43959781	0.660228427	1242	1238	356	886
XXL.VLDL.C	0.02145266	0.006071811	3.533156773	0.000410629	0.123908555	0.126932624	0.976175794	0.328977357	0.027436989	0.062732322	0.437366075	0.661845883	1240	1236	356	884
MUFA	0.021415849	0.006074001	3.525822288	0.00042217	0.115074611	0.128241823	0.897325131	0.36954545	0.027895303	0.064030837	0.4356542	0.66308764	1240	1236	356	884
XL.VLDL.CE	0.021609535	0.006079228	3.554651059	0.000378481	0.122766875	0.127237093	0.964867024	0.33461142	0.026459002	0.062884068	0.420758436	0.673931485	1240	1236	355	885
XL.VLDL.C	0.021638231	0.006079539	3.55918936	0.000372001	0.121763208	0.127133237	0.95776062	0.338183481	0.024723001	0.062821429	0.393544076	0.693917677	1240	1236	355	885
L.LDL.L	0.021198417	0.00607229	3.491008461	0.000481201	0.13029986	0.127874816	1.0189642	0.308219963	-0.025032699	0.063776298	-0.392507875	0.694682994	1242	1238	356	886
M.LDL.C	0.021187202	0.006086791	3.480849501	0.000499826	0.118671444	0.127612276	0.929937527	0.352403432	0.024197672	0.063720784	0.379745356	0.704134448	1242	1238	356	886
L.VLDL.FC_.	0.021542975	0.006084469	3.540649953	0.000399143	0.122379893	0.12688287	0.96451076	0.334789916	0.023712721	0.064441277	0.367974097	0.712892549	1242	1238	356	886
IDL.PL_.	0.021475	0.006081882	3.530979434	0.000414024	0.1218845	0.127188979	0.958294506	0.337914273	-0.022983029	0.063805433	-0.360204889	0.718693919	1243	1239	356	887
DHA.FA	0.021378865	0.006072364	3.5206824	0.000430438	0.125745054	0.12697976	0.990276353	0.322039062	-0.02234515	0.062762319	-0.356028108	0.721819516	1242	1238	356	886
XL.VLDL.PL_.	0.021069869	0.00607905	3.465980673	0.000528301	0.129205955	0.127625111	1.012386623	0.311353232	-0.0223939	0.063808921	-0.350952491	0.725623991	1239	1235	356	883
S.LDL.C	0.021384915	0.006077406	3.518756792	0.000433574	0.120330238	0.127658951	0.942591464	0.345889908	0.02187658	0.063783418	0.342982244	0.731611818	1243	1239	356	887
L.LDL.P	0.02119568	0.00607338	3.489931515	0.000483144	0.129219544	0.127782507	1.011245961	0.311898723	-0.021747901	0.063834429	-0.340692346	0.733335201	1242	1238	356	886
Remnant.C	0.021161548	0.006072391	3.484878886	0.00049236	0.125552394	0.127345389	0.985920214	0.324172267	-0.021312849	0.063436877	-0.335969395	0.736893946	1241	1237	356	885
IDL.TG	0.021289154	0.006071784	3.506243775	0.000454479	0.116596728	0.127144727	0.917039434	0.359121977	0.021195388	0.063541093	0.333569772	0.738704232	1238	1234	356	882
Leu	0.021765198	0.006124375	3.553864165	0.000379615	0.127169812	0.12883898	0.987044545	0.323620801	0.020980342	0.064586374	0.324841618	0.745300945	1241	1237	356	885
S.LDL.P	0.021225588	0.006085388	3.487960012	0.000486721	0.118846129	0.127834999	0.929683811	0.352534819	0.020524771	0.063655841	0.322433429	0.747124363	1242	1238	356	886
S.LDL.CE_.	0.021144189	0.006099696	3.46643343	0.000527412	0.121042049	0.127064357	0.952604271	0.340790612	0.02010052	0.064961629	0.309421426	0.757000974	1242	1238	356	886
XS.VLDL.PL	0.021224025	0.006073727	3.494398611	0.000475131	0.128354291	0.127795137	1.004375394	0.315197706	-0.018057284	0.063927381	-0.282465576	0.777586538	1242	1238	356	886
L.LDL.C	0.021213819	0.006074305	3.492386096	0.000478726	0.128407885	0.127835425	1.004478098	0.315148223	-0.017834152	0.063738659	-0.279801182	0.779630045	1242	1238	356	886
S.HDL.PL	0.021145155	0.006133978	3.44721693	0.000566394	0.128359375	0.127346064	1.007957138	0.31347504	-0.017670514	0.064366303	-0.274530514	0.783676957	1243	1239	356	887
M.HDL.TG	0.021252237	0.006077688	3.49676318	0.00047094	0.126245942	0.127380195	0.991095529	0.321638936	-0.017328995	0.06398587	-0.270825342	0.786525368	1242	1238	356	886
AcAce	0.021450375	0.006172596	3.475097828	0.000510667	0.11734648	0.127992803	0.916820929	0.359236484	-0.017058624	0.06619329	-0.257709259	0.7966313	1234	1230	354	880
L.LDL.TG	0.021205544	0.006064056	3.496924317	0.000470655	0.121699425	0.127361956	0.955539852	0.339304762	-0.016561628	0.064437252	-0.257019458	0.797163752	1238	1234	356	882
S.HDL.C_.	0.021290144	0.006100112	3.49012352	0.000482797	0.124123512	0.126962352	0.977640303	0.328252257	0.016272114	0.063911146	0.254605258	0.799027998	1241	1237	356	885
L.LDL.PL_.	0.021073825	0.006082003	3.464948306	0.000530333	0.12965266	0.127203547	1.019253498	0.308082635	-0.016103525	0.06420081	-0.250830561	0.801945113	1242	1238	355	887
S.HDL.FC	0.021205705	0.006185099	3.42851502	0.000606893	0.128112691	0.127338552	1.006079374	0.31437739	-0.01613669	0.064739814	-0.249254493	0.80316393	1239	1235	355	884
S.LDL.L	0.021402999	0.006076188	3.522438369	0.000427596	0.12148464	0.12781592	0.950465643	0.341875704	0.015319068	0.063856566	0.239898096	0.810409257	1243	1239	356	887
L.VLDL.PL_.	0.021186222	0.006075421	3.487202487	0.000488102	0.130273466	0.127538321	1.021445668	0.307043338	-0.015336206	0.06449796	-0.23777816	0.812053159	1242	1238	356	886
M.LDL.FC	0.021328775	0.00607275	3.512210203	0.000444396	0.128445923	0.1275666	1.006893049	0.313986173	-0.015066133	0.063908274	-0.235746197	0.81362962	1243	1239	356	887
S.HDL.P	0.021556597	0.006118106	3.523410317	0.000426031	0.122137734	0.127560007	0.95749237	0.338318796	0.01492469	0.064293103	0.232135167	0.816433032	1243	1239	356	887
S.VLDL.C	0.021342922	0.006067036	3.517849812	0.000435059	0.123564678	0.126873798	0.973918015	0.330097248	-0.014222459	0.063325078	-0.224594422	0.822294805	1242	1238	356	886
M.LDL.P	0.021219254	0.006083343	3.488090961	0.000486483	0.120848277	0.127630265	0.946862224	0.34370899	0.014012449	0.063595438	0.220337337	0.825608444	1242	1238	356	886
S.LDL.C_.	0.021232211	0.006084137	3.48976536	0.000483445	0.122342887	0.126937321	0.963805491	0.335143453	0.013899951	0.064290294	0.216206057	0.828827132	1242	1238	356	886
XS.VLDL.FC_.	0.021216922	0.006080739	3.489201346	0.000484466	0.127569288	0.127165674	1.003173918	0.315776955	0.013752921	0.063806079	0.21554249	0.829344389	1239	1235	355	884
PUFA	0.021246976	0.006089434	3.489154246	0.000484551	0.116191411	0.129552489	0.896867453	0.369789649	0.013848368	0.064579179	0.214440143	0.83020384	1241	1237	356	885
S.LDL.TG_.	0.021452987	0.006075571	3.531024038	0.000413954	0.125329502	0.127093616	0.986119567	0.324074443	0.012728665	0.063762237	0.199627011	0.841772301	1239	1235	355	884
M.VLDL.FC_.	0.021362505	0.006079013	3.51414049	0.000441179	0.123079823	0.12686483	0.970165038	0.331964235	0.012416688	0.063821675	0.194552843	0.845743023	1242	1238	356	886
FAw6	0.021234705	0.006087035	3.488513841	0.000485714	0.116642617	0.129714376	0.899226597	0.368531976	0.012373062	0.064595675	0.191546284	0.848097623	1241	1237	356	885
M.LDL.L	0.02121785	0.00608279	3.488176991	0.000486326	0.12122919	0.127665743	0.949582774	0.342324295	0.012050731	0.06372435	0.189107161	0.850008829	1242	1238	356	886
S.HDL.L	0.021519987	0.006115643	3.518842763	0.000433434	0.122653899	0.127627822	0.961027912	0.336538134	0.011892469	0.064344419	0.184825181	0.853366156	1243	1239	356	887
FAw3	0.021447512	0.006083705	3.525403057	0.000422839	0.123138322	0.127362872	0.966830599	0.333628725	0.01168002	0.06322372	0.184741109	0.853432101	1243	1239	356	887
L.LDL.TG_.	0.021463392	0.006074325	3.533461521	0.000410156	0.124547179	0.127068651	0.980156618	0.327008815	-0.01150873	0.064054077	-0.179672089	0.857410007	1239	1235	355	884
PUFA.FA	0.021431716	0.006077377	3.526474676	0.000421131	0.124186983	0.126994603	0.977891816	0.328127833	0.010911546	0.063483072	0.171881195	0.86353093	1243	1239	356	887
TotFA	0.021390342	0.006075635	3.520676094	0.000430448	0.116908	0.129171144	0.905062824	0.365432105	0.010286614	0.064541849	0.159378986	0.873370294	1241	1237	356	885
Phe	0.021605165	0.006073753	3.557135934	0.00037492	0.12308813	0.127485851	0.965504242	0.334292312	-0.009997296	0.063856641	-0.156558432	0.875592865	1241	1237	356	885
L.LDL.CE	0.021220472	0.006076515	3.492210938	0.00047904	0.126212057	0.127762399	0.987865429	0.323218559	-0.009340215	0.063711963	-0.146600641	0.883447248	1242	1238	356	886
Ala	0.02131128	0.006100133	3.493576207	0.000476597	0.125781241	0.126904976	0.991145065	0.32161475	0.008480174	0.063532131	0.133478508	0.89381496	1243	1239	356	887
M.LDL.PL	0.021321713	0.006072195	3.511368177	0.000445807	0.125055597	0.127824877	0.978335353	0.32790849	-0.007872772	0.063895234	-0.123213753	0.901937835	1242	1238	356	886
L.LDL.C_.	0.021286142	0.006075988	3.503322163	0.000459493	0.12242723	0.12711594	0.963114698	0.335489966	0.007145262	0.064125947	0.111425435	0.911278991	1242	1238	356	886
FAw6.FA	0.02140917	0.006074199	3.524607848	0.00042411	0.124443565	0.127072782	0.979309358	0.327427148	0.006740616	0.063397279	0.106323425	0.915325747	1243	1239	356	887
DHA	0.021360517	0.006076025	3.515541043	0.000438859	0.125968246	0.127029993	0.991641758	0.321372312	-0.006476913	0.062941577	-0.10290357	0.918039505	1243	1239	356	887
Val	0.02132298	0.006125561	3.480984234	0.000499575	0.123296658	0.129131219	0.954816808	0.339670346	-0.005271685	0.065054254	-0.081035213	0.935413949	1243	1239	356	887
XXL.VLDL.CE	0.021345164	0.006069884	3.516568725	0.000437163	0.122966129	0.126876944	0.969176312	0.332457228	-0.004745423	0.063261743	-0.075012524	0.940204748	1242	1238	356	886
S.LDL.PL	0.021370236	0.006078005	3.515995056	0.000438109	0.121685671	0.128549417	0.946606165	0.343839501	0.0044466	0.064175689	0.069287927	0.944760436	1242	1238	356	886
M.VLDL.CE	0.021573032	0.006079191	3.548668322	0.000387184	0.117255969	0.126994931	0.923312198	0.355844533	0.003861856	0.063179818	0.061124831	0.951259794	1241	1237	355	886
M.LDL.TG	0.02124902	0.006065338	3.50335327	0.00045944	0.119744401	0.127471333	0.939382984	0.347534146	-0.003854844	0.064287175	-0.059962871	0.952185206	1238	1234	356	882
VLDL.C	0.021351262	0.00607068	3.517112252	0.000436269	0.122963231	0.126895842	0.969009139	0.332540629	0.003454986	0.06320269	0.054665179	0.956405211	1242	1238	356	886
LDL.TG	0.02124872	0.006065862	3.503001032	0.000460048	0.119636422	0.127423786	0.938886107	0.347789223	-0.003409098	0.064180077	-0.053117702	0.957638127	1238	1234	356	882
FAw3.FA	0.021402364	0.006077355	3.521657705	0.000428857	0.125347855	0.126854066	0.988126424	0.323090736	0.00328468	0.062927985	0.052197441	0.958371372	1243	1239	356	887
L.HDL.TG_.	0.021637644	0.006114573	3.538700739	0.000402101	0.123443815	0.127259356	0.970017595	0.332037722	-0.001949757	0.063623799	-0.030645086	0.975552585	1238	1234	354	884
SFA	0.021403875	0.006074474	3.52357668	0.000425764	0.123019699	0.128752544	0.955473929	0.339338084	0.000228833	0.064450218	0.003550538	0.997167087	1240	1236	356	884
S.LDL.FC	0.021351408	0.006080775	3.511297301	0.000445925	0.123084238	0.127658877	0.964165133	0.334963142	0.000183399	0.063853236	0.002872196	0.997708322	1242	1238	356	886
LDL.C	0.021221406	0.006079134	3.490860235	0.000481468	0.123996379	0.127745345	0.970652817	0.331721195	-0.000118665	0.063774055	-0.001860706	0.998515372	1242	1238	356	886
